date,entity,value,volume
2023-12-31,region_north,17100.0,
2023-12-31,region_south,10600.0,
2023-12-31,region_east,8100.0,
2024-01-01,region_north,18900.0,
2024-01-01,region_south,12400.0,
2024-01-01,region_east,9900.0,
2024-01-02,region_north,18600.0,
2024-01-02,region_south,12100.0,
2024-01-02,region_east,9600.0,
2024-01-03,region_north,18300.0,
2024-01-03,region_south,11800.0,
2024-01-03,region_east,9300.0,
2024-01-04,region_north,18000.0,
2024-01-04,region_south,11500.0,
2024-01-04,region_east,9000.0,
2024-01-05,region_north,17700.0,
2024-01-05,region_south,11200.0,
2024-01-05,region_east,8700.0,
2024-01-06,region_north,17400.0,
2024-01-06,region_south,10900.0,
2024-01-06,region_east,8400.0,
2024-01-07,region_north,17100.0,
2024-01-07,region_south,10600.0,
2024-01-07,region_east,8100.0,
2024-01-08,region_north,18900.0,
2024-01-08,region_south,12400.0,
2024-01-08,region_east,9900.0,
2024-01-09,region_north,18600.0,
2024-01-09,region_south,12100.0,
2024-01-09,region_east,9600.0,
2024-01-10,region_north,18300.0,
2024-01-10,region_south,11800.0,
2024-01-10,region_east,9300.0,
2024-01-11,region_north,18000.0,
2024-01-11,region_south,11500.0,
2024-01-11,region_east,9000.0,
2024-01-12,region_north,17700.0,
2024-01-12,region_south,11200.0,
2024-01-12,region_east,8700.0,
2024-01-13,region_north,17400.0,
2024-01-13,region_south,10900.0,
2024-01-13,region_east,8400.0,
2024-01-14,region_north,17100.0,
2024-01-14,region_south,10600.0,
2024-01-14,region_east,8100.0,
2024-01-15,region_north,18900.0,
2024-01-15,region_south,12400.0,
2024-01-15,region_east,9900.0,
2024-01-16,region_north,18600.0,
2024-01-16,region_south,12100.0,
2024-01-16,region_east,9600.0,
2024-01-17,region_north,18300.0,
2024-01-17,region_south,11800.0,
2024-01-17,region_east,9300.0,
2024-01-18,region_north,18000.0,
2024-01-18,region_south,11500.0,
2024-01-18,region_east,9000.0,
2024-01-19,region_north,17700.0,
2024-01-19,region_south,11200.0,
2024-01-19,region_east,8700.0,
2024-01-20,region_north,17400.0,
2024-01-20,region_south,10900.0,
2024-01-20,region_east,8400.0,
2024-01-21,region_north,17100.0,
2024-01-21,region_south,10600.0,
2024-01-21,region_east,8100.0,
2024-01-22,region_north,18900.0,
2024-01-22,region_south,12400.0,
2024-01-22,region_east,9900.0,
2024-01-23,region_north,18600.0,
2024-01-23,region_south,12100.0,
2024-01-23,region_east,9600.0,
2024-01-24,region_north,18300.0,
2024-01-24,region_south,11800.0,
2024-01-24,region_east,9300.0,
2024-01-25,region_north,18000.0,
2024-01-25,region_south,11500.0,
2024-01-25,region_east,9000.0,
2024-01-26,region_north,17700.0,
2024-01-26,region_south,11200.0,
2024-01-26,region_east,8700.0,
2024-01-27,region_north,17400.0,
2024-01-27,region_south,10900.0,
2024-01-27,region_east,8400.0,
2024-01-28,region_north,17100.0,
2024-01-28,region_south,10600.0,
2024-01-28,region_east,8100.0,
